yyyymm,tasa_cancelacion,tasa_cupon,pedidos,lineas,ingreso_neto
2022-07,0.0,0.0,1,2,407.78
2022-09,0.0,0.25,2,4,339.54
2022-10,0.0,0.6666666666666666,1,3,426.19
2022-12,0.0,0.3333333333333333,1,3,272.56
2023-02,0.0,0.3333333333333333,1,3,389.25
2023-03,0.0,0.6666666666666666,1,3,257.86
2023-04,0.0,0.0,2,4,533.0
2023-05,0.0,0.2857142857142857,2,7,797.46
2023-06,0.0,0.7142857142857143,3,7,1129.59
2023-07,0.0,0.0,1,5,822.09
2023-08,0.16666666666666666,0.16666666666666666,1,6,696.85
2023-09,0.125,0.375,2,8,653.9
2023-10,0.14285714285714285,0.42857142857142855,5,14,1545.01
2023-11,0.0,0.42857142857142855,3,7,961.61
2023-12,0.0,0.0,1,5,770.55
